iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,0,0.007153626129456846,-1.112085144108136,1058,0.007153626129456846,0,Inf,Inf,1055.89881567289,-1.2778571568091646,-0.9463131314071076,0.08457911166154942,"0.33 	 (0.28, 0.39)",0.27863372958810134,0.3881695185061017,M0
cesd_ge3,Conditional,0,0.02324575282971531,0.2236105401990724,1058,0.02324575282971531,0,Inf,Inf,1055.89881567289,-0.07521650384377404,0.5224375842419188,0.1524655791636765,"1.25 	 (0.93, 1.69)",0.9275426480396417,1.6861327350052526,M0
(Intercept),Conditional,0.19198480206792756,0.7484727851760978,-4.3751862680134685,1033,0.9596560674508181,0.22006142558520672,16.51004715023644,185.84661930470827,150.95764041202486,-6.30779188826452,-2.4425806477624175,0.9796203690465088,"0.01 	 (0.00, 0.09)",0.0018220520951498338,0.08693620999061194,M1
age,Conditional,4.785483204423582e-6,6.865755222185446e-5,0.031354202790879415,1033,7.39215837467204e-5,0.07121102197840135,47.78723225355627,1774.794492425273,621.9921799182491,0.01449139080373004,0.04821701477802878,0.008597766206795832,"1.03 	 (1.01, 1.05)",1.014596900049951,1.0493983655687005,M1
bmi,Conditional,1.398625097330157e-4,1.6003185140853188e-4,-0.012560276892369104,1033,3.1388061211484915e-4,0.49015056925537,10.969720395941696,37.46135540561865,34.96924810478053,-0.04844275563346401,0.023322201848725792,0.017716676102329385,"0.99 	 (0.95, 1.02)",0.9527118751326689,1.0235962910384162,M1
cesd_ge3,Conditional,6.23446427353379e-4,0.02655254971105788,0.259854237145979,1033,0.0272383407811466,0.025177417214906014,213.6110815415892,14197.770643793097,938.6047235736121,-0.06364662381436431,0.5833550981063222,0.16504042165829133,"1.30 	 (0.94, 1.79)",0.93833652673303,1.7920408285931302,M1
control_a1c,Conditional,5.785679966681647e-4,0.03857167234506392,0.8886497585932744,1033,0.039208097141398904,0.01623197356504698,448.6788584720616,34158.583738481575,985.0222748297383,0.5005428597244109,1.2767566574621378,0.19801034604635917,"2.43 	 (1.65, 3.58)",1.6496165380550796,3.584993487532752,M1
control_bp,Conditional,2.65745940615894e-4,0.034975125414203966,0.683928127699845,1033,0.03526744594888145,0.008288678888207234,1512.739072135183,131000.17611885777,1014.5415894899743,0.31585076512442223,1.0520054902752678,0.18779628843212384,"1.98 	 (1.37, 2.86)",1.3714255758285676,2.8633878601580287,M1
control_chol,Conditional,7.55955687119846e-4,0.014322962241216635,0.014862101863257855,1033,0.015154513497048466,0.05487152431477169,66.70506170878407,2989.1551650874367,734.8723330242723,-0.22651439431181958,0.25623859803833526,0.12310366971397914,"1.01 	 (0.80, 1.29)",0.7973078655323544,1.29206097437864,M1
fall_any,Conditional,8.687528982177176e-5,0.019631935996968032,-0.1038763819324306,1033,0.01972749881577198,0.004844142670917168,4177.096789009033,383538.2287078894,1023.2740696511763,-0.3791632371294832,0.171410473264622,0.1404546147898743,"0.90 	 (0.68, 1.19)",0.6844338785252946,1.1869778717214894,M1
