iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
Contrast 1,0.0014939380306528457,0.16680519292432125,-0.1031198826551228,1032,0.16844852475803937,0.009755691455764446,1118.9881367256435,94564.1224476458,1009.0736301798132,-0.9075480250435434,0.7013082597332976,0.4104248101151286,"0.90 	 (0.40, 2.02)",0.40351241436420676,2.016388943114947,M2
Contrast 2,6.891010030922892e-4,0.030700012856338655,0.2912476445952252,1032,0.03145802395974017,0.024095954163288108,229.52925351587902,15500.804992784324,943.9726568516273,-0.056406749711266135,0.6389020389017165,0.17736409997443162,"1.34 	 (0.95, 1.89)",0.9451546163267942,1.8943997597790452,M2
Contrast 3,0.001994129516804812,0.18921076008791674,0.39436752725034796,1032,0.19140430255640203,0.01146025684474314,833.9056039051982,68525.75155179294,1003.294048918942,-0.4631274996408069,1.2518625541415027,0.43749777434451254,"1.48 	 (0.63, 3.50)",0.6293123902891273,3.496849968141245,M2
Contrast 1,4.522432042443983e-4,0.05502533557580212,0.561953571280508,1032,0.05552280310047096,0.008959697581706182,1309.2292439771998,112112.95698529633,1011.5670399586502,0.1001168392046215,1.0237903033563946,0.2356327717030697,"1.75 	 (1.11, 2.78)",1.1053000529105452,2.783725958990071,M3
Contrast 2,0.0010235407058486231,0.034463670782462354,0.07260752381563486,1032,0.035589565558895836,0.03163553021096266,148.4256946533983,8992.744907644821,897.8382184876247,-0.2971933144854069,0.44240836211667656,0.188651969401053,"1.08 	 (0.74, 1.56)",0.7429003850741203,1.5564512063843094,M3
Contrast 3,0.001597849405019613,0.07909026463474361,-0.4893460474648732,1032,0.08084789898026519,0.02174001263719431,272.2315203345397,19042.454433111314,956.9759796013072,-1.0466730245645073,0.06798092963476077,0.2843376496003742,"0.61 	 (0.35, 1.07)",0.3511039222454108,1.0703448964160356,M3
Contrast 1,5.904281185111115e-4,0.03668455593921508,0.25899587598608026,1032,0.037334026869577305,0.017396219610359327,397.8080532097133,29739.437253168224,978.7779803637151,-0.11972407515961991,0.6377158271317804,0.19322015130305975,"1.30 	 (0.89, 1.89)",0.8871651938628239,1.8921539327635923,M4
Contrast 2,0.0011467671476000898,0.06347163985387984,0.263021317279627,1032,0.06473308371623994,0.01948684953569783,327.42893473868213,23700.59482067989,968.6576079167647,-0.23567185084948739,0.7617144854087414,0.2544269712829989,"1.30 	 (0.79, 2.14)",0.7900398823172247,2.141945408362462,M4
Contrast 3,5.380769770935586e-4,0.09055755371045607,0.004025441293546766,1032,0.09114943838525898,0.006493563594996722,2391.1702677306766,213440.246154607,1018.434608582954,-0.5877099601357609,0.5957608427228545,0.30190965268646014,"1.00 	 (0.56, 1.81)",0.5555981709490244,1.8144109012592242,M4
Contrast 1,2.98448471242497e-4,0.06228793818981186,0.24363276419133356,1034,0.0626162315081786,0.005242942771537868,3590.379305186303,327410.25260830804,1023.386210583303,-0.24681545253160958,0.7340809809142765,0.2502323550386293,"1.28 	 (0.78, 2.08)",0.781284864371597,2.083566275176211,M5
Contrast 2,0.0012709961272894354,0.035918640166706234,0.3030411351158115,1034,0.037316735906724616,0.037465649287038445,114.64702003929861,6411.741173600805,860.091130085763,-0.07564718130912007,0.681729451540743,0.19317540191940746,"1.35 	 (0.93, 1.98)",0.927143262332369,1.9772944117549178,M5
Contrast 3,0.001076303952459396,0.08158005323562356,0.05940837092447789,1034,0.0827639875833289,0.014304945692875425,560.3525925557133,43981.50462328465,994.2471743347585,-0.5044639106012343,0.6232806524501899,0.2876873086935343,"1.06 	 (0.60, 1.87)",0.6038291951049117,1.8650365531541846,M5
Contrast 1,9.33876403963404e-4,0.02871380268259006,0.3060724460271716,1032,0.029741066726949806,0.03454025552583463,129.63001281432926,7543.821734879458,878.6104118881098,-0.031989313291833854,0.6441342053461769,0.17245598489745087,"1.36 	 (0.97, 1.90)",0.968516932281702,1.9043375500499065,M6
Contrast 2,0.07335119014071893,0.11163350995680589,-0.47508477195474713,1032,0.19231981911159673,0.4195423515242143,11.662668114298869,51.13177783566817,47.1033765467801,-1.355441163942664,0.4052716200331697,0.43854283611934275,"0.62 	 (0.26, 1.50)",0.2578335225042915,1.4997097959639234,M6
Contrast 3,0.07266569404143332,0.140097866310072,-0.7811572179819187,1032,0.22003012975564867,0.36327871793896727,12.431351722576435,68.19658020608041,61.773065594880094,-1.7171303470972878,0.15481591113345017,0.4690736933101756,"0.46 	 (0.18, 1.17)",0.17958074360500043,1.1674430280585448,M6
Contrast 1,9.33876403963404e-4,0.02871380268259006,0.3060724460271716,1032,0.029741066726949806,0.03454025552583463,129.63001281432926,7543.821734879458,878.6104118881098,-0.031989313291833854,0.6441342053461769,0.17245598489745087,"1.36 	 (0.97, 1.90)",0.968516932281702,1.9043375500499065,M7
Contrast 2,0.07335119014071893,0.11163350995680589,-0.47508477195474713,1032,0.19231981911159673,0.4195423515242143,11.662668114298869,51.13177783566817,47.1033765467801,-1.355441163942664,0.4052716200331697,0.43854283611934275,"0.62 	 (0.26, 1.50)",0.2578335225042915,1.4997097959639234,M7
Contrast 3,0.07266569404143332,0.140097866310072,-0.7811572179819187,1032,0.22003012975564867,0.36327871793896727,12.431351722576435,68.19658020608041,61.773065594880094,-1.7171303470972878,0.15481591113345017,0.4690736933101756,"0.46 	 (0.18, 1.17)",0.17958074360500043,1.1674430280585448,M7
Contrast 1,9.245049271689637e-5,0.016147974249471272,0.33369764127659435,1032,0.016249669791459857,0.006258314371534671,2564.027835117062,229788.21906373894,1019.020611279708,0.08385149871085873,0.58354378384233,0.1274741926487862,"1.40 	 (1.09, 1.79)",1.087467391507935,1.7923789930382295,A3
Contrast 2,5.499290818063456e-5,0.011567859115184135,0.01924617763748826,1032,0.011628351314182833,0.005202130324779324,3644.377779826119,332567.68964263995,1021.5003102244743,-0.19210698149510608,0.2305993367700826,0.10783483349170078,"1.02 	 (0.83, 1.26)",0.8252185806516366,1.259354561286855,A3
Contrast 3,1.014359288152881e-4,0.022943014357877368,-0.3144514636391061,1032,0.023054593879574186,0.0048397955860620765,4184.290111734451,384227.5231066893,1022.2935617821644,-0.6120482226765136,-0.016854704601698633,0.15183739288980888,"0.73 	 (0.54, 0.98)",0.542239104462577,0.9832865412661104,A3
Contrast 1,1.2525984796442555e-4,0.024252361441233702,0.16925390233413873,1032,0.02439014727399457,0.005649241524169847,3114.139325529037,282008.5165584918,1020.4809045923244,-0.13684175370400686,0.4753495583722842,0.1561734525263323,"1.18 	 (0.87, 1.61)",0.8721082231090784,1.6085763905651902,B3
Contrast 2,3.2226994843597757e-4,0.010436963355271998,0.004792230661130296,1032,0.010791460298551573,0.03284976578444679,140.0077061163319,8340.228601166209,889.8814706386416,-0.19884220928532403,0.2084266706075846,0.10388195367122999,"1.00 	 (0.82, 1.23)",0.8196792208993835,1.231738604105755,B3
Contrast 3,3.004507192304467e-4,0.02774983480742235,-0.16446167167300846,1032,0.02808033059857584,0.011769654562765484,794.6354079842658,64970.330546028534,1002.1819114794685,-0.4929026144373823,0.1639792710913654,0.1675718669663134,"0.85 	 (0.61, 1.18)",0.6108507542137145,1.1781898922489629,B3
Contrast 1,4.2144670075288025e-40,0,3.6011571540040787e-22,1032,4.635913708281683e-40,1,9,9,0,-4.834677941250617e-20,4.9067010843306986e-20,2.1531172072791772e-20,"1.00 	 (1.00, 1.00)",1,1,C3
Contrast 2,2.6869970835734915e-40,0,8.49151630179308e-21,1032,2.9556967919308407e-40,1,9,9,0,-3.03998064360302e-20,4.7382839039616364e-20,1.719214004110844e-20,"1.00 	 (1.00, 1.00)",1,1,C3
Contrast 3,4.607621964977935e-40,0,8.131400586392671e-21,1032,5.0683841614757286e-40,1,9,9,0,-4.279670675978849e-20,5.905950793257383e-20,2.2513072117051748e-20,"1.00 	 (1.00, 1.00)",1,1,C3
Contrast 1,1.41188697123293e-40,0,-1.2324726947556287e-21,988,1.553075668356223e-40,1,9,9,0,-2.942403097412299e-20,2.695908558461173e-20,1.2462245657810726e-20,"1.00 	 (1.00, 1.00)",1,1,L3
Contrast 2,2.877538065395472e-40,0,-5.281414505411596e-21,988,3.1652918719350194e-40,1,9,9,0,-4.552805694888767e-20,3.496522793806448e-20,1.779126716098384e-20,"1.00 	 (1.00, 1.00)",1,1,L3
Contrast 3,2.763428794194542e-40,0,-4.0489418106559675e-21,988,3.0397716736139963e-40,1,9,9,0,-4.348951845652402e-20,3.539163483521209e-20,1.7434940991050116e-20,"1.00 	 (1.00, 1.00)",1,1,L3
Contrast 1,4.579276483672263e-4,0.054952933701377715,0.577827155469297,988,0.055456654114581665,0.00908313747459751,1276.5067837020863,109086.43141363002,968.3766063826695,0.11626547960662315,1.0393888313319708,0.23549236529998518,"1.78 	 (1.12, 2.83)",1.12329404421318,2.827488413844374,J3
Contrast 2,9.334518991255681e-4,0.03404613180839041,0.04438006159422993,988,0.03507292889742854,0.029276057669463906,167.63209457026343,10500.67752355934,877.1841083029182,-0.3227197573684204,0.4114798805568801,0.18727767858831584,"1.05 	 (0.72, 1.51)",0.724176771137695,1.509049346270519,J3
Contrast 3,0.0015721258317598571,0.07856571544273315,-0.5334470938750671,988,0.080295053857669,0.02153729690500324,276.5344372754717,19402.608433426933,919.0705303542863,-1.0888646211943305,0.021970433444196358,0.2833638188930778,"0.59 	 (0.34, 1.02)",0.336598443575667,1.0222135606893485,J3
