iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,3.445602563847584e-4,0.0016756927701593104,-1.256788427821161,3330,0.002054709052182545,0.18446226321952355,18.717294857134306,264.50107643056174,241.01335251096066,-1.3460398198656582,-1.1675370357766637,0.045328898642946806,"0.28 	 (0.26, 0.31)",0.2602689342982116,0.3111323060841071,M0
cesd_ge3,Conditional,2.457028596681956e-4,0.008753943467564423,-0.20126137793896726,3330,0.009024216613199439,0.02994976264639915,161.71633775484676,10033.575883686086,2442.4608529932334,-0.387472338040165,-0.01505041783776953,0.09499587682209917,"0.82 	 (0.68, 0.99)",0.6787704101115464,0.9850622736411426,M0
(Intercept),Conditional,0.02418076282405876,0.2274932101616541,-2.616934380720653,3298,0.25409204926811874,0.10468190241717268,30.978406548797018,821.2952219126319,642.4833441444981,-3.6063621976597715,-1.6275065637815342,0.5040754400564649,"0.07 	 (0.03, 0.20)",0.027150435352177146,0.1964187215988891,M1
age,Conditional,4.738830847895585e-7,2.5049410697296782e-5,0.010587026073853426,3298,2.5570682090565298e-5,0.02038550991413896,303.32873672084656,21657.052587779075,2809.889719642679,6.754317142405337e-4,0.02049862043346632,0.005056746195980702,"1.01 	 (1.00, 1.02)",1.0006756598696058,1.0207101601046447,M1
bmi,Conditional,9.972145076361356e-6,3.939760311401942e-5,-8.89349824444586e-4,3298,5.036696269801691e-5,0.21778878448093092,16.625854576666203,189.74550104945843,176.73810956214072,-0.014888440659655689,0.013109741010766514,0.007096968556927452,"1.00 	 (0.99, 1.01)",0.9852218441715367,1.0131960504177044,M1
cesd_ge3,Conditional,1.5629502135123356e-4,0.009490472948064647,-0.10062542178883477,3298,0.009662397471551004,0.017793153717030816,382.6099320909311,28427.36776852601,2906.3729977320004,-0.2932931745384988,0.0920423309608292,0.09829749473690062,"0.90 	 (0.75, 1.10)",0.7458034580580699,1.0964112332394624,M1
control_a1c,Conditional,2.216661349108977e-4,0.011581496191824412,0.44075274794488983,3298,0.0118253289402264,0.020619531992259254,297.53875736371987,21168.2473676575,2800.9157532516338,0.22760559354541257,0.6538999023443671,0.10874432831291203,"1.55 	 (1.26, 1.92)",1.2555900149557264,1.923025837097214,M1
control_bp,Conditional,8.194758668858756e-4,0.008125343725079148,0.3293373406276451,3298,0.00902676717865361,0.09986116133649027,32.537566235923606,902.5043101616366,692.0009502311623,0.14287246790342736,0.5158022133518627,0.09500930048502415,"1.39 	 (1.15, 1.67)",1.1535826734675088,1.6749816556257986,M1
control_chol,Conditional,6.098220477421573e-4,0.004970596630278939,0.23953159970019033,3298,0.005641400882795312,0.11890738957448276,27.279435239888947,636.5387097908304,522.1007438182033,0.09203971255162136,0.3870234868487593,0.07510925963418433,"1.27 	 (1.10, 1.47)",1.0964083623899523,1.4725910773908932,M1
duration_dm,Conditional,4.859670523151415e-6,1.989547612174026e-5,-0.008402199883227879,3298,2.524111369720682e-5,0.2117829521943045,16.945939548639256,200.65986398691382,186.27266115361417,-0.018308913721597105,0.0015045139551413452,0.005024053512573967,"0.99 	 (0.98, 1.00)",0.9818576761964402,1.001505646304069,M1
factor(wave)10,Conditional,2.6247426172356012e-5,0.009283904428215615,-0.1872301298327076,3298,0.009312776597005206,0.0031002750349317194,9893.407256788423,936358.2971363103,3274.293452934115,-0.37637224648220885,0.0019119868167936371,0.09650272844332022,"0.83 	 (0.69, 1.00)",0.6863467953036125,1.0019138158290841,M1
