variable,group,Total_Total,Female_Total,Male_Total,Total_No,Total_Yes
age,NA,"68.7 (68, 69.4)","68.9 (68.1, 69.8)","68.5 (67.6, 69.4)","69.1 (68.4, 69.9)","67.8 (66.7, 68.9)"
hh_size,NA,"2.3 (2.2, 2.4)","2.2 (2.1, 2.3)","2.3 (2.2, 2.4)","2.3 (2.2, 2.4)","2.3 (2.1, 2.4)"
hh_children,NA,"3.3 (3.2, 3.4)","3.3 (3.1, 3.4)","3.3 (3.2, 3.5)","3.3 (3.2, 3.5)","3.3 (3.1, 3.4)"
lengthmar,NA,"37.1 (35.9, 38.2)","38 (36.1, 39.9)","36.5 (35.1, 38)","37.7 (36.4, 38.9)","35.5 (33.3, 37.7)"
bmi,NA,"31.8 (31.5, 32.1)","32.6 (32, 33.1)","31.1 (30.7, 31.4)","31.4 (31, 31.7)","32.8 (32, 33.6)"
height,NA,"1.7 (1.7, 1.7)","1.6 (1.6, 1.6)","1.7 (1.7, 1.7)","1.7 (1.7, 1.7)","1.6 (1.6, 1.7)"
weight,NA,"87.5 (86.5, 88.5)","81.9 (80.4, 83.4)","92.9 (91.5, 94.2)","87.1 (85.9, 88.3)","88.4 (86.1, 90.7)"
waistcircumference,NA,"110.3 (109.6, 111)","108.1 (106.8, 109.4)","112.4 (111.1, 113.6)","108.8 (107.9, 109.7)","113.6 (111.7, 115.4)"
adl_some6,NA,"0.8 (0.7, 0.9)","1 (0.9, 1.1)","0.6 (0.5, 0.7)","0.5 (0.4, 0.6)","1.4 (1.3, 1.6)"
iadl_some4,NA,"0.5 (0.5, 0.6)","0.7 (0.6, 0.7)","0.4 (0.4, 0.5)","0.4 (0.3, 0.4)","0.9 (0.8, 1)"
hba1c,NA,"7 (6.9, 7.1)","7 (6.8, 7.1)","7 (6.9, 7.2)","6.9 (6.8, 7)","7.1 (6.9, 7.3)"
sbp,NA,"133.1 (131.9, 134.3)","132.5 (130.9, 134.1)","133.6 (132, 135.3)","133.5 (132.1, 134.8)","132.3 (130.3, 134.3)"
dbp,NA,"77.6 (76.8, 78.4)","78.3 (77.3, 79.3)","76.9 (76, 77.9)","77.6 (76.7, 78.5)","77.6 (76.3, 79)"
chol,NA,"183.6 (181.2, 186)","187.6 (184.3, 190.9)","179.7 (176.7, 182.7)","184.3 (181.6, 187)","182.2 (178.4, 186)"
hdl,NA,"48.6 (47.8, 49.3)","50.9 (49.8, 52)","46.3 (45.3, 47.2)","49.2 (48.3, 50.1)","47.3 (46, 48.6)"
nonhdl_adj,NA,"136.2 (134, 138.4)","137.7 (134.3, 141.2)","134.6 (131.8, 137.5)","136.3 (133.6, 139)","135.9 (132.1, 139.6)"
